Year,President,Party,President Poll Winner,
1976 ,Gerald Ford ,Republican ,Republican,
1977 ,Jimmy Carter ,Democrat ,Republican,
1978 ,Jimmy Carter ,Democrat ,Republican,
1979 ,Jimmy Carter ,Democrat ,Republican,
1980 ,Jimmy Carter ,Democrat ,Republican,
1981 ,Ronald Reagan ,Republican ,Republican,
1982 ,Ronald Reagan ,Republican ,Republican,
1983 ,Ronald Reagan ,Republican ,Republican,
1984 ,Ronald Reagan ,Republican ,Republican,
1985 ,Ronald Reagan ,Republican ,Republican,
1986 ,Ronald Reagan ,Republican ,Republican,
1987 ,Ronald Reagan ,Republican ,Republican,
1988 ,Ronald Reagan ,Republican ,Republican,
1989 ,George Bush ,Republican ,Republican,
1990 ,George Bush ,Republican ,Republican,
1991 ,George Bush ,Republican ,Republican,
1992 ,George Bush ,Republican ,Democrat,
1993 ,Bill Clinton ,Democrat ,Democrat,
1994 ,Bill Clinton ,Democrat ,Democrat,
1995 ,Bill Clinton ,Democrat ,Democrat,
1996 ,Bill Clinton ,Democrat ,Democrat,
1997 ,Bill Clinton ,Democrat ,Democrat,
1998 ,Bill Clinton ,Democrat ,Democrat,
1999 ,Bill Clinton ,Democrat ,Democrat,
2000 ,Bill Clinton ,Democrat ,Republican,
2001 ,George W. Bush ,Republican ,Republican,
2002 ,George W. Bush ,Republican ,Republican,
2003 ,George W. Bush ,Republican ,Republican,
2004 ,George W. Bush ,Republican ,Republican,
2005 ,George W. Bush ,Republican ,Republican,
2006 ,George W. Bush ,Republican ,Republican,
2007 ,George W. Bush ,Republican ,Republican,
2008 ,George W. Bush ,Republican ,Democrat,
2009 ,Barack Obama ,Democrat ,Democrat,
2010 ,Barack Obama ,Democrat ,Democrat,
2011 ,Barack Obama ,Democrat ,Democrat,
2012 ,Barack Obama ,Democrat ,Republican,
2013 ,Barack Obama ,Democrat,Republican,=
2014,Barack Obama ,Democrat,Republican,
2015,Barack Obama ,Democrat,Republican,
2016,Barack Obama ,Democrat,Democrat,
2017,Donald Trump,Republican ,Democrat,
2018,Donald Trump,Republican ,Democrat,